777e	 -2.2936E0	-2.6222E0	-7.3635E0	-7.6921E0	-1.6054E1	-1.5725E1	-1.6382E1	-8.3449E0	4.5164E-3	2.7983E0	3.4979E0	4.2724E0	4.8731E0	6.7582E0	6.496E0	-9.4513E0	4.6608E0	6.1962E0	4.5972E0	 	 1.7759E-6	1.7759E-6	1.7562E-6	1.7562E-6	1.6874E-6	8.4371E-7	8.4371E-7	7.8292E-7	4.005E-6	2.2416E-6	0E0	0E0	7.7321E-7	2.3189E-6	3.3539E-8	0E0	0E0	1.8748E-7	0E0	
766e	 -2.3129E0	-2.6415E0	-7.4341E0	-7.7627E0	-1.5936E1	-1.5607E1	-1.6264E1	-8.3975E0	-1.8119E-2	2.8589E0	3.4343E0	4.4972E0	4.975E0	6.6876E0	6.496E0	-9.7502E0	4.5119E0	5.9432E0	4.1079E0	 	 1.7275E-6	1.7275E-6	1.2679E-6	1.2679E-6	1.5207E-6	7.6036E-7	7.6036E-7	5.4367E-8	2.8615E-6	2.2506E-7	5.6759E-8	0E0	1.0552E-6	1.8912E-6	0E0	8.746E-8	7.4338E-8	5.6981E-7	0E0	
765m	 -2.3053E0	-2.6339E0	-7.3004E0	-7.629E0	-1.5894E1	-1.5565E1	-1.6222E1	-8.1271E0	-5.8636E-4	2.7983E0	3.327E0	4.3799E0	5.1084E0	6.7826E0	6.3267E0	-9.9621E0	4.6049E0	5.9957E0	4.3053E0	 	 1.9249E-6	1.9249E-6	1.3578E-6	1.3578E-6	1.4385E-6	7.1927E-7	7.1927E-7	1.2804E-6	3.9996E-6	2.209E-6	1.0271E-7	0E0	2.0098E-6	2.1258E-6	4.1265E-7	2.4014E-7	0E0	0E0	4.9206E-8	
719m	 -2.2718E0	-2.6003E0	-7.2735E0	-7.6021E0	-1.5711E1	-1.5382E1	-1.6039E1	-8.2604E0	3.4395E-2	2.9413E0	3.4947E0	4.4364E0	5.0314E0	6.7518E0	6.3736E0	-9.5834E0	4.6311E0	6.1409E0	4.2972E0	 	 1.8336E-6	1.8336E-6	2.2952E-6	2.2952E-6	2.7723E-6	1.3862E-6	1.3862E-6	6.5274E-7	3.9245E-6	1.3917E-7	0E0	0E0	0E0	1.3054E-6	0E0	9.7794E-8	5.1821E-8	0E0	0E0	
775m	 -2.2876E0	-2.6162E0	-7.3264E0	-7.655E0	-1.5933E1	-1.5605E1	-1.6262E1	-8.3341E0	-3.4999E-3	2.9628E0	3.298E0	4.3682E0	4.9654E0	6.7736E0	6.4225E0	-8.9945E0	4.897E0	5.962E0	4.2834E0	 	 1.7968E-6	1.7968E-6	1.6953E-6	1.6953E-6	2.0107E-6	1.0053E-6	1.0053E-6	2.918E-7	3.1317E-6	2.0504E-7	5.4044E-7	0E0	9.799E-8	1.6495E-6	1.5926E-6	7.926E-7	8.1962E-7	1.139E-7	0E0	
771e	 -2.321E0	-2.6496E0	-7.4893E0	-7.8179E0	-1.5975E1	-1.5647E1	-1.6304E1	-8.4266E0	-1.7342E-2	2.7983E0	3.481E0	4.4973E0	5.021E0	6.7287E0	6.193E0	-9.9939E0	4.8671E0	5.6466E0	4.0716E0	 	 1.5973E-6	1.5973E-6	3.0589E-6	3.0589E-6	1.5844E-6	7.9219E-7	7.9219E-7	2.1052E-7	3.3442E-6	1.7215E-6	7.5758E-8	0E0	3.841E-8	1.307E-6	1.4909E-7	6.6824E-7	6.7431E-7	1.3277E-6	0E0	
762e	 -2.3785E0	-2.707E0	-7.4004E0	-7.729E0	-1.6117E1	-1.5789E1	-1.6446E1	-8.3934E0	-1.7635E-2	2.8839E0	3.2979E0	4.4735E0	4.9114E0	6.6325E0	6.4585E0	-9.7525E0	4.5598E0	5.9053E0	4.2987E0	 	 1.2793E-6	1.2793E-6	1.9935E-6	1.9935E-6	1.3377E-6	6.6885E-7	6.6885E-7	2.5442E-6	2.8398E-6	5.1429E-7	1.5026E-7	0E0	3.3935E-7	1.3601E-6	0E0	4.4079E-7	0E0	9.4874E-8	1.7126E-7	
715m	 -2.3308E0	-2.6594E0	-7.3729E0	-7.7014E0	-1.6024E1	-1.5696E1	-1.6353E1	-8.3069E0	-1.9204E-2	2.8944E0	3.475E0	4.45E0	4.9328E0	6.6993E0	6.3845E0	-9.7406E0	4.671E0	5.6463E0	3.9792E0	 	 1.5921E-6	1.5921E-6	1.8548E-6	1.8548E-6	1.2186E-6	6.0929E-7	6.0929E-7	5.413E-7	3.4382E-6	5.068E-7	9.8641E-8	0E0	1.1051E-6	1.8691E-6	0E0	0E0	0E0	7.2098E-7	0E0	
772e	 -2.3057E0	-2.6343E0	-7.343E0	-7.6716E0	-1.585E1	-1.5522E1	-1.6179E1	-8.2053E0	2.2749E-2	2.9715E0	3.4972E0	4.492E0	5.0694E0	6.7331E0	6.4275E0	-9.9577E0	4.7295E0	6.0057E0	4.3007E0	 	 2.2354E-6	2.2354E-6	1.5378E-6	1.5378E-6	1.831E-6	9.1548E-7	9.1548E-7	9.104E-7	4.1624E-6	1.7729E-6	9.441E-9	1.11E-7	1.5968E-6	2.2932E-6	3.5096E-8	4.3398E-7	0E0	1.2107E-6	0E0	
777m	 -2.3779E0	-2.7065E0	-7.5754E0	-7.904E0	-1.6142E1	-1.5813E1	-1.6471E1	-7.7453E0	-1.3777E-2	2.9509E0	3.472E0	4.4915E0	4.9972E0	6.5957E0	6.1862E0	-8.9976E0	4.5777E0	6.0131E0	4.5E0	 	 6.4738E-7	6.4738E-7	3.8915E-8	3.8915E-8	5.5391E-7	2.7696E-7	2.7696E-7	1.9907E-6	1.2862E-6	2.7134E-7	5.0657E-8	0E0	2.4947E-7	1.1925E-6	9.2485E-8	6.8405E-8	0E0	0E0	1.5627E-7	
